ID_ISEP,ID_MAPA,departamento_A,grupo,departamento_B,departamento_C
1,378,Calamuchita,CENTRO, Calamuchita, Calamuchita
26,329,Capital,CENTRO,Capital, Capital
2,327,Colón,CENTRO,Colón, Colón
3,326,Cruz del Eje,OESTE,Cruz del Eje, Cruz del Eje
4,397,General Roca,SUR,General Roca, General Roca
5,339,General San Martín,CENTRO,General San Martín, General San Martín
6,324,Ischilín,NORTE,Ischilin, Ischilín
7,342,Juárez Celman,SUR,Juarez Celman, Juárez Celman
8,338,Marcos Juárez,ESTE,Marcos Juárez, Marcos Juarez
9,331,Minas,OESTE,Minas, Minas
10,332,Pocho,OESTE,Pocho, Pocho
11,393,Presidente Roque Sáenz Peña,SUR,Presidente Roque Sáenz Peña, Presidente Roque Sáenz Peña
12,328,Punilla,CENTRO,Punilla, Punilla
13,343,Río Cuarto,SUR,Rio Cuarto, Río Cuarto
14,340,Río Primero,CENTRO,Río Primero, Río Primero
15,433,Río Seco,NORTE,Rio Seco, Río Seco
16,335,Río Segundo,CENTRO,Rio Segundo, Rio Segundo
17,333,San Alberto,OESTE,San Alberto, San Alberto
18,334,San Javier,OESTE,San Javier, San Javier
19,336,San Justo,ESTE,San Justo, San Justo
20,330,Santa María,CENTRO,Santa Maria, Santa María
21,322,Sobremonte,NORTE,Sobremonte, Sobremonte
22,341,Tercero Arriba,CENTRO,Tercero Arriba, Tercero Arriba
23,325,Totoral,NORTE,Totoral, Totoral
24,323,Tulumba,NORTE,Tulumba, Tulumba
25,337,Unión,ESTE,Union, Unión

