departamento,total,pct,pct_label,ID_ISEP,ID_MAPA,grupo,departamento_B,departamento_C
Capital,1623,0.2886872998932764,28.869%,26,329,CENTRO,Capital,Capital
Río Cuarto,491,0.08733546780505158,8.734%,13,343,SUR,Rio Cuarto,Río Cuarto
San Justo,487,0.08662397723230167,8.662%,19,336,ESTE,San Justo,San Justo
Colón,322,0.05727499110636784,5.727%,2,327,CENTRO,Colón,Colón
Punilla,277,0.04927072216293134,4.927%,12,328,CENTRO,Punilla,Punilla
Cruz del Eje,229,0.040732835289932406,4.073%,3,326,OESTE,Cruz del Eje,Cruz del Eje
Unión,220,0.03913198150124511,3.913%,25,337,ESTE,Union,Unión
Presidente Roque Sáenz Peña,202,0.03593027392387051,3.593%,11,393,SUR,Presidente Roque Sáenz Peña,Presidente Roque Sáenz Peña
Tercero Arriba,197,0.03504091070793312,3.504%,22,341,CENTRO,Tercero Arriba,Tercero Arriba
Santa María,195,0.03468516542155817,3.469%,20,330,CENTRO,Santa Maria,Santa María
Río Segundo,170,0.03023834934187122,3.024%,16,335,CENTRO,Rio Segundo,Rio Segundo
General San Martín,158,0.028103877623621487,2.810%,5,339,CENTRO,General San Martín,General San Martín
Marcos Juárez,156,0.02774813233724653,2.775%,8,338,ESTE,Marcos Juárez,Marcos Juarez
Ischilín,150,0.026680896478121666,2.668%,6,324,NORTE,Ischilin,Ischilín
San Javier,136,0.024190679473496977,2.419%,18,334,OESTE,San Javier,San Javier
San Alberto,108,0.0192102454642476,1.921%,17,333,OESTE,San Alberto,San Alberto
Calamuchita,102,0.01814300960512273,1.814%,1,378,CENTRO,Calamuchita,Calamuchita
Río Primero,95,0.01689790110281039,1.690%,14,340,CENTRO,Río Primero,Río Primero
Juárez Celman,81,0.0144076840981857,1.441%,7,342,SUR,Juarez Celman,Juárez Celman
General Roca,65,0.011561721807186055,1.156%,4,397,SUR,General Roca,General Roca
Totoral,38,0.006759160441124155,0.676%,23,325,NORTE,Totoral,Totoral
Tulumba,33,0.005869797225186766,0.587%,24,323,NORTE,Tulumba,Tulumba
Río Seco,31,0.005514051938811811,0.551%,15,433,NORTE,Rio Seco,Río Seco
Pocho,23,0.004091070793311989,0.409%,10,332,OESTE,Pocho,Pocho
Minas,19,0.0033795802205620774,0.338%,9,331,OESTE,Minas,Minas
Sobremonte,14,0.0024902170046246885,0.249%,21,322,NORTE,Sobremonte,Sobremonte
